supplier_id,supplier_name_raw,supplier_name_normalized,supplier_category,supplier_type,supply_scope,certifications_raw,kpi_quality,kpi_time,distributor_or_broker,notes,source_file,provenance,extra_fields
SUP_2728851770977696432,ALHOF S.p.A.,ALHOF S.P.A.,"[""CLASSE D (distributori)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO D
TIPO DISTRIBUTORE
Name: 17, dtype: object; TIPO D
TIPO DISTRIBUTORE
Name: 17, dtype: object",COMPONENTI ELETTROMECCANICI,nan; ISO 9001:2015 / EN 9120:2018,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE D (distributori)"", ""row"": 18, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 45, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_3747923048135586383,ALLUMINIO DI QUALITA',ALLUMINIO DI QUALITA',"[""CLASSE B (built to print)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO B
TIPO DISTRIBUTORE
Name: 40, dtype: object; TIPO B
TIPO DISTRIBUTORE
Name: 40, dtype: object",MATERIE PRIME,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE B (built to print)"", ""row"": 41, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 93, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_2813523151639088290,ALMET ITALIA S.r.l.,ALMET ITALIA S.R.L.,"[""CLASSE B (built to print)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO B
TIPO DISTRIBUTORE
Name: 39, dtype: object; TIPO B
TIPO DISTRIBUTORE
Name: 39, dtype: object",MATERIE PRIME,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE B (built to print)"", ""row"": 40, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 92, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_5677719391596986912,AMADA,AMADA,"[""CLASSE D (distributori)"", ""ITEM E SERVIZI INTERNI""]","TIPO D
TIPO COSTRUTTORE
Name: 42, dtype: object; TIPO D
TIPO COSTRUTTORE
Name: 42, dtype: object",MACCHINARI PER PRODUZIONE,nan; nan,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE D (distributori)"", ""row"": 43, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 25, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
SUP_4831061865741099220,AMINSTRUMENTS,AMINSTRUMENTS,"[""CLASSE E (generali stabilimento"", ""ITEM E SERVIZI INTERNI""]","TIPO E
TIPO PRODUTTORE
Name: 32, dtype: object; TIPO E
TIPO PRODUTTORE
Name: 32, dtype: object",PRODOTTI E SERVIZI ESD / CLEAN ROOM,nan; nan,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE E (generali stabilimento"", ""row"": 33, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 41, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
SUP_8832984891523241213,ANGELANTONI TEST TECHNOLOGIES S.R.L.,ANGELANTONI TEST TECHNOLOGIES S.R.L.,"[""CLASSE E (generali stabilimento"", ""ITEM E SERVIZI INTERNI""]","TIPO E
TIPO PRODUTTORE
Name: 34, dtype: object; TIPO E
TIPO PRODUTTORE
Name: 34, dtype: object",SIMULAZIONI - CALIBRAZIONI,nan; nan,nan,ISO 9001:2015,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE E (generali stabilimento"", ""row"": 35, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 49, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
SUP_1594520620626369482,ANTINCENDIO 2005,ANTINCENDIO 2005,"[""CLASSE E (generali stabilimento"", ""ITEM E SERVIZI INTERNI""]","TIPO E
TIPO SERVIZI
Name: 16, dtype: object; TIPO E
TIPO SERVIZI
Name: 16, dtype: object","ANTINCENDIO, MANUTENZIONE ESTINTORI",nan; nan,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE E (generali stabilimento"", ""row"": 17, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 15, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
SUP_3066011515753828494,ARROW ELECTRONICS INC,ARROW ELECTRONICS INC,"[""CLASSE D (distributori)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO D
TIPO DISTRIBUTORE
Name: 38, dtype: object; TIPO D
TIPO DISTRIBUTORE
Name: 38, dtype: object",COMPONENTI ELETTRONICI,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE D (distributori)"", ""row"": 39, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 90, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_5136429958611442126,ASSELTECH S.R.L.,ASSELTECH S.R.L.,"[""CLASSE B (built to print)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO B
TIPO COSTRUTTORE
Name: 17, dtype: object; TIPO B
TIPO COSTRUTTORE
Name: 17, dtype: object",MONTAGGIO SCHEDE ELETTRONICHE,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE B (built to print)"", ""row"": 18, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 29, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_5004336497437189384,AVIATRONIK TRESCAL S.p.A.,AVIATRONIK TRESCAL S.P.A.,"[""CLASSE A (progettazione)"", ""CLASSE C (coats)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO A
TIPO DISTRIBUTORE
Name: 14, dtype: object; TIPO A
TIPO DISTRIBUTORE
Name: 14, dtype: object",APPARECCHIATURE ELETTRONICHE,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE A (progettazione)"", ""row"": 15, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""CLASSE C (coats)"", ""row"": 11, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 71, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_3407408735746686561,BARBIERI S.R.L.,BARBIERI S.R.L.,"[""CLASSE E (generali stabilimento"", ""ITEM E SERVIZI INTERNI""]","TIPO E
TIPO DISTRIBUTORE
Name: 28, dtype: object; TIPO E
TIPO DISTRIBUTORE
Name: 28, dtype: object",PRODOTTI CHIMICI (ALPHA),nan; nan,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE E (generali stabilimento"", ""row"": 29, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 39, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
SUP_7542732991525812468,BELOTTI SISTEMI,BELOTTI SISTEMI,"[""CLASSE E (generali stabilimento"", ""ITEM E SERVIZI INTERNI""]","TIPO E
TIPO DISTRIBUTORE
Name: 41, dtype: object; TIPO E
TIPO DISTRIBUTORE
Name: 41, dtype: object",nan,nan; nan,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE E (generali stabilimento"", ""row"": 42, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 45, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
SUP_8273397182847123907,BERNER,BERNER,"[""CLASSE E (generali stabilimento"", ""ITEM E SERVIZI INTERNI""]","TIPO E
TIPO NaN
Name: 36, dtype: object; TIPO E
TIPO NaN
Name: 36, dtype: object",PRODOTTI VARI PER PRODUZIONE,nan; nan,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE E (generali stabilimento"", ""row"": 37, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 29, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
